toad.id,sex,age,task.type,reward.position,choice,latency,trial,lt,learnt
MW12,0,A,reversal,R,1,85,9,1,1
MW12,0,A,reversal,R,0,285,10,1,1
MW12,0,A,reversal,R,0,180,11,1,1
MW12,0,A,reversal,R,1,110,12,1,1
MW12,0,A,reversal,R,0,111,13,1,1
MW12,0,A,reversal,R,0,85,14,1,1
MW12,0,A,reversal,R,0,97,15,1,1
MW12,0,A,reversal,R,1,125,16,1,1
MW12,0,A,reversal,R,1,115,17,1,1
MW12,0,A,reversal,R,1,110,18,1,1
MW12,0,A,reversal,R,1,96,19,1,1
MW12,0,A,reversal,R,1,146,20,1,1
MW12,0,A,reversal,R,1,304,21,1,1
MW12,0,A,reversal,R,1,87,22,1,1
MW13,1,A,reversal,R,0,222,1,1,1
MW13,1,A,reversal,R,1,205,2,1,1
MW13,1,A,reversal,R,0,164,3,1,1
MW13,1,A,reversal,R,1,355,4,1,1
MW13,1,A,reversal,R,0,154,5,1,1
MW13,1,A,reversal,R,0,80,6,1,1
MW13,1,A,reversal,R,1,110,7,1,1
MW13,1,A,reversal,R,0,54,8,1,1
MW13,1,A,reversal,R,0,382,9,1,1
MW13,1,A,reversal,R,0,210,10,1,1
MW13,1,A,reversal,R,0,60,11,1,1
MW13,1,A,reversal,R,0,300,12,1,1
MW13,1,A,reversal,R,1,326,13,1,1
MW13,1,A,reversal,R,1,75,14,1,1
MW13,1,A,reversal,R,1,302,15,1,1
MW13,1,A,reversal,R,1,334,16,1,1
MW13,1,A,reversal,R,0,286,17,1,1
MW13,1,A,reversal,R,1,174,18,1,1
MW13,1,A,reversal,R,1,121,19,1,1
MW13,1,A,reversal,R,1,376,20,1,1
MW14,0,A,reversal,R,1,88,1,1,1
MW14,0,A,reversal,R,1,136,2,1,1
MW14,0,A,reversal,R,1,158,3,1,1
MW14,0,A,reversal,R,0,41,4,1,1
MW14,0,A,reversal,R,0,94,5,1,1
MW14,0,A,reversal,R,1,95,6,1,1
MW14,0,A,reversal,R,0,172,7,1,1
MW14,0,A,reversal,R,0,112,8,1,1
MW14,0,A,reversal,R,0,119,9,1,1
MW14,0,A,reversal,R,0,38,10,1,1
MW14,0,A,reversal,R,1,40,11,1,1
MW14,0,A,reversal,R,1,115,12,1,1
MW14,0,A,reversal,R,1,300,13,1,1
MW14,0,A,reversal,R,1,140,14,1,1
MW14,0,A,reversal,R,1,315,15,1,1
MW14,0,A,reversal,R,1,203,16,1,1
MW14,0,A,reversal,R,1,176,17,1,1
