"toad.id","age","task.type","reward.position","choice","latency","trial","lt","learnt","log.latency"
"MW14","1","reversal","R","0",172,7,1,"1",5.14749447681345
"MW14","1","reversal","R","0",112,8,1,"1",4.71849887129509
"MW14","1","reversal","R","0",119,9,1,"1",4.77912349311153
"MW14","1","reversal","R","0",38,10,1,"1",3.63758615972639
"MW14","1","reversal","R","1",40,11,1,"1",3.68887945411394
"MW14","1","reversal","R","1",115,12,1,"1",4.74493212836325
"MW14","1","reversal","R","1",300,13,1,"1",5.7037824746562
"MW14","1","reversal","R","1",140,14,1,"1",4.9416424226093
"MW14","1","reversal","R","1",315,15,1,"1",5.75257263882563
"MW14","1","reversal","R","1",203,16,1,"1",5.31320597904179
"MW14","1","reversal","R","1",176,17,1,"1",5.17048399503815
"MW15","1","reversal","L","1",35,1,1,"1",3.55534806148941
"MW15","1","reversal","L","0",35,2,1,"1",3.55534806148941
"MW15","1","reversal","L","0",77,3,1,"1",4.34380542185368
"MW15","1","reversal","L","0",60,4,1,"1",4.0943445622221
"MW15","1","reversal","L","0",32,5,1,"1",3.46573590279973
"MW15","1","reversal","L","0",30,6,1,"1",3.40119738166216
"MW15","1","reversal","L","0",110,7,1,"1",4.70048036579242
"MW15","1","reversal","L","0",27,8,1,"1",3.29583686600433
"MW15","1","reversal","L","1",39,9,1,"1",3.66356164612965
"MW15","1","reversal","L","0",44,10,1,"1",3.78418963391826
"MW15","1","reversal","L","0",95,11,1,"1",4.55387689160054
"MW15","1","reversal","L","0",30,12,1,"1",3.40119738166216
"MW15","1","reversal","L","0",25,13,1,"1",3.2188758248682
"MW15","1","reversal","L","1",97,14,1,"1",4.57471097850338
"MW15","1","reversal","L","0",41,15,1,"1",3.71357206670431
"MW15","1","reversal","L","0",49,16,1,"1",3.89182029811063
"MW15","1","reversal","L","1",280,17,1,"1",5.63478960316925
"MW15","1","reversal","L","1",276,18,1,"1",5.62040086571715
"MW15","1","reversal","L","1",207,19,1,"1",5.33271879326537
"MW15","1","reversal","L","1",377,20,1,"1",5.93224518744801
"MW15","1","reversal","L","1",177,21,1,"1",5.17614973257383
"MW15","1","reversal","L","0",380,22,1,"1",5.94017125272043
"MW15","1","reversal","L","1",136,23,1,"1",4.91265488573605
"MW15","1","reversal","L","1",216,24,1,"1",5.37527840768417
"MW16","1","reversal","L","0",395,1,1,"1",5.97888576490112
"MW16","1","reversal","L","0",261,2,1,"1",5.56452040732269
"MW16","1","reversal","L","0",235,3,1,"1",5.45958551414416
