toad.id,age,task.type,reward.position,choice,latency,trial,lt,learnt,log.latency
MW20,1,association,R,1,94,7,1,1,4.543294782
MW20,1,association,R,1,76,8,1,1,4.33073334
MW20,1,association,R,1,112,9,1,1,4.718498871
MW20,1,association,R,1,224,10,1,1,5.411646052
MW20,1,association,R,1,364,11,1,1,5.897153868
MW21,0,association,R,0,208,1,1,1,5.33753808
MW21,0,association,R,1,126,2,1,1,4.836281907
MW21,0,association,R,1,29,3,1,1,3.36729583
MW21,0,association,R,1,19,4,1,1,2.944438979
MW21,0,association,R,1,34,5,1,1,3.526360525
MW21,0,association,R,0,66,6,1,1,4.189654742
MW21,0,association,R,1,38,7,1,1,3.63758616
MW21,0,association,R,1,17,8,1,1,2.833213344
MW21,0,association,R,0,51,9,1,1,3.931825633
MW21,0,association,R,0,13,10,1,1,2.564949357
MW21,0,association,R,1,41,11,1,1,3.713572067
MW21,0,association,R,0,147,12,1,1,4.990432587
MW21,0,association,R,1,31,13,1,1,3.433987204
MW21,0,association,R,1,33,14,1,1,3.496507561
MW21,0,association,R,1,167,15,1,1,5.117993812
MW21,0,association,R,1,22,16,1,1,3.091042453
MW21,0,association,R,0,149,17,1,1,5.003946306
MW21,0,association,R,0,34,18,1,1,3.526360525
MW21,0,association,R,1,40,19,1,1,3.688879454
MW21,0,association,R,1,29,20,1,1,3.36729583
MW21,0,association,R,1,44,21,1,1,3.784189634
MW22,0,association,L,1,23,1,1,1,3.135494216
MW22,0,association,L,1,22,2,1,1,3.091042453
MW22,0,association,L,1,24,3,1,1,3.17805383
MW22,0,association,L,0,21,4,1,1,3.044522438
MW22,0,association,L,0,23,5,1,1,3.135494216
MW22,0,association,L,1,26,6,1,1,3.258096538
MW22,0,association,L,1,18,7,1,1,2.890371758
MW22,0,association,L,1,56,8,1,1,4.025351691
MW22,0,association,L,0,17,9,1,1,2.833213344
MW22,0,association,L,1,30,10,1,1,3.401197382
MW22,0,association,L,0,30,11,1,1,3.401197382
MW22,0,association,L,1,273,12,1,1,5.609471795
MW22,0,association,L,0,65,13,1,1,4.17438727
MW22,0,association,L,0,50,14,1,1,3.912023005
MW22,0,association,L,1,47,15,1,1,3.850147602
MW22,0,association,L,1,93,16,1,1,4.532599493
MW22,0,association,L,1,21,17,1,1,3.044522438
MW22,0,association,L,0,103,18,1,1,4.634728988
MW22,0,association,L,1,29,19,1,1,3.36729583
MW22,0,association,L,1,16,20,1,1,2.772588722
MW22,0,association,L,1,29,21,1,1,3.36729583
MW22,0,association,L,1,41,22,1,1,3.713572067
MW23,0,association,L,1,32,1,1,1,3.465735903
MW23,0,association,L,1,11,2,1,1,2.397895273
MW23,0,association,L,1,16,3,1,1,2.772588722
MW23,0,association,L,0,35,4,1,1,3.555348061
MW23,0,association,L,1,94,5,1,1,4.543294782
MW23,0,association,L,1,27,6,1,1,3.295836866
MW23,0,association,L,1,19,7,1,1,2.944438979
MW23,0,association,L,1,96,8,1,1,4.564348191
MW24,0,association,L,1,15,1,1,1,2.708050201
MW24,0,association,L,0,134,2,1,1,4.8978398
MW24,0,association,L,1,31,3,1,1,3.433987204
MW24,0,association,L,0,25,4,1,1,3.218875825
MW24,0,association,L,1,70,5,1,1,4.248495242
MW24,0,association,L,0,14,6,1,1,2.63905733
MW24,0,association,L,1,28,7,1,1,3.33220451
MW24,0,association,L,1,18,8,1,1,2.890371758
MW24,0,association,L,0,8,9,1,1,2.079441542
MW24,0,association,L,1,17,10,1,1,2.833213344
MW24,0,association,L,1,46,11,1,1,3.828641396
MW24,0,association,L,0,60,12,1,1,4.094344562
MW24,0,association,L,1,39,13,1,1,3.663561646
MW24,0,association,L,1,234,14,1,1,5.455321115
MW24,0,association,L,1,41,15,1,1,3.713572067
MW25,0,association,R,0,40,1,1,1,3.688879454
MW25,0,association,R,0,25,2,1,1,3.218875825
MW25,0,association,R,0,368,3,1,1,5.908082938
MW25,0,association,R,0,48,4,1,1,3.871201011
MW25,0,association,R,1,57,5,1,1,4.043051268
MW25,0,association,R,1,62,6,1,1,4.127134385
MW25,0,association,R,1,99,7,1,1,4.59511985
MW25,0,association,R,1,121,8,1,1,4.795790546
MW25,0,association,R,1,65,9,1,1,4.17438727
MW25,0,association,R,1,229,10,1,1,5.433722004
MW25,0,association,R,1,227,11,1,1,5.424950017
MW26,0,association,L,0,87,1,1,1,4.465908119
MW26,0,association,L,0,41,2,1,1,3.713572067
MW26,0,association,L,0,29,3,1,1,3.36729583
MW26,0,association,L,1,38,4,1,1,3.63758616
MW26,0,association,L,1,16,5,1,1,2.772588722
MW26,0,association,L,1,15,6,1,1,2.708050201
MW26,0,association,L,0,53,7,1,1,3.970291914
MW26,0,association,L,1,70,8,1,1,4.248495242
MW26,0,association,L,1,54,9,1,1,3.988984047
MW26,0,association,L,1,26,10,1,1,3.258096538
MW26,0,association,L,1,362,11,1,1,5.891644212
MW27,0,association,L,0,314,1,1,1,5.749392986
MW27,0,association,L,0,115,2,1,1,4.744932128
MW27,0,association,L,1,145,3,1,1,4.976733742
MW27,0,association,L,0,24,4,1,1,3.17805383
MW27,0,association,L,1,11,5,1,1,2.397895273
MW27,0,association,L,1,21,6,1,1,3.044522438
MW27,0,association,L,1,56,7,1,1,4.025351691
MW27,0,association,L,1,329,8,1,1,5.796057751
MW27,0,association,L,0,126,9,1,1,4.836281907
MW27,0,association,L,1,134,10,1,1,4.8978398
MW27,0,association,L,1,43,11,1,1,3.761200116
MW28,0,association,R,1,27,1,1,1,3.295836866
MW28,0,association,R,0,33,2,1,1,3.496507561
MW28,0,association,R,0,31,3,1,1,3.433987204
MW28,0,association,R,0,32,4,1,1,3.465735903
MW28,0,association,R,0,24,5,1,1,3.17805383
MW28,0,association,R,0,14,6,1,1,2.63905733
MW28,0,association,R,0,44,7,1,1,3.784189634
MW28,0,association,R,0,36,8,1,1,3.583518938
MW28,0,association,R,1,41,9,1,1,3.713572067
MW28,0,association,R,1,39,10,1,1,3.663561646
MW28,0,association,R,1,24,11,1,1,3.17805383
MW28,0,association,R,1,28,12,1,1,3.33220451
MW28,0,association,R,1,16,13,1,1,2.772588722
MW28,0,association,R,1,56,14,1,1,4.025351691
MW28,0,association,R,0,127,15,1,1,4.844187086
MW28,0,association,R,1,80,16,1,1,4.382026635
MW29,0,association,R,1,129,1,1,1,4.859812404
MW29,0,association,R,1,42,2,1,1,3.737669618
MW29,0,association,R,1,75,3,1,1,4.317488114
MW29,0,association,R,0,67,4,1,1,4.204692619
MW29,0,association,R,0,80,5,1,1,4.382026635
MW29,0,association,R,0,397,6,1,1,5.983936281
MW29,0,association,R,1,352,7,1,1,5.863631176
MW29,0,association,R,1,60,8,1,1,4.094344562
MW29,0,association,R,1,141,9,1,1,4.94875989
MW29,0,association,R,1,75,10,1,1,4.317488114
MW29,0,association,R,1,242,11,1,1,5.488937726
MW29,0,association,R,1,338,12,1,1,5.823045895
MW29,0,association,R,1,322,13,1,1,5.774551546
MW30,0,association,R,1,64,1,1,1,4.158883083
MW30,0,association,R,0,28,2,1,1,3.33220451
MW30,0,association,R,1,26,3,1,1,3.258096538
MW30,0,association,R,0,31,4,1,1,3.433987204
MW30,0,association,R,0,25,5,1,1,3.218875825
MW30,0,association,R,0,23,6,1,1,3.135494216
MW30,0,association,R,1,24,7,1,1,3.17805383
MW30,0,association,R,1,58,8,1,1,4.060443011
MW30,0,association,R,0,17,9,1,1,2.833213344
MW30,0,association,R,0,62,10,1,1,4.127134385
MW30,0,association,R,0,58,11,1,1,4.060443011
MW30,0,association,R,1,24,12,1,1,3.17805383
MW30,0,association,R,0,36,13,1,1,3.583518938
MW30,0,association,R,0,60,14,1,1,4.094344562
MW30,0,association,R,1,26,15,1,1,3.258096538
MW30,0,association,R,1,19,16,1,1,2.944438979
MW30,0,association,R,1,30,17,1,1,3.401197382
MW30,0,association,R,0,38,18,1,1,3.63758616
MW30,0,association,R,1,86,19,1,1,4.454347296
MW30,0,association,R,1,67,20,1,1,4.204692619
MW30,0,association,R,0,20,21,1,1,2.995732274
MW30,0,association,R,0,84,22,1,1,4.430816799
MW30,0,association,R,0,40,23,1,1,3.688879454
MW30,0,association,R,1,18,24,1,1,2.890371758
MW30,0,association,R,0,68,25,1,1,4.219507705
MW30,0,association,R,0,61,26,1,1,4.110873864
MW30,0,association,R,1,63,27,1,1,4.143134726
MW30,0,association,R,1,47,28,1,1,3.850147602
MW30,0,association,R,1,74,29,1,1,4.304065093
MW30,0,association,R,1,27,30,1,1,3.295836866
MW30,0,association,R,1,36,31,1,1,3.583518938
MW30,0,association,R,0,121,32,1,1,4.795790546
MW30,0,association,R,0,38,33,1,1,3.63758616
MW30,0,association,R,1,63,34,1,1,4.143134726
MW30,0,association,R,1,46,35,1,1,3.828641396
MW31,0,association,L,1,17,1,1,1,2.833213344
MW31,0,association,L,0,67,2,1,1,4.204692619
MW31,0,association,L,1,37,3,1,1,3.610917913
MW31,0,association,L,1,71,4,1,1,4.262679877
MW31,0,association,L,1,82,5,1,1,4.406719247
MW31,0,association,L,1,49,6,1,1,3.891820298
MW31,0,association,L,1,175,7,1,1,5.164785974
MW31,0,association,L,1,13,8,1,1,2.564949357
MW32,0,association,R,1,106,1,1,0,4.663439094
MW32,0,association,R,1,52,2,1,0,3.951243719
MW32,0,association,R,1,46,3,1,0,3.828641396
MW32,0,association,R,1,37,4,1,0,3.610917913
MW32,0,association,R,0,121,5,1,0,4.795790546
MW32,0,association,R,0,65,6,1,0,4.17438727
MW32,0,association,R,1,89,7,1,0,4.48863637
MW32,0,association,R,1,123,8,1,0,4.812184355
MW32,0,association,R,0,57,9,1,0,4.043051268
MW32,0,association,R,0,210,10,1,0,5.347107531
MW32,0,association,R,1,57,11,1,0,4.043051268
MW33,0,association,R,1,247,1,1,0,5.509388337
MW33,0,association,R,0,162,2,1,0,5.087596335
MW33,0,association,R,1,63,3,1,0,4.143134726
MW33,0,association,R,1,28,4,1,0,3.33220451
MW33,0,association,R,0,38,5,1,0,3.63758616
MW33,0,association,R,0,64,6,1,0,4.158883083
MW33,0,association,R,0,20,7,1,0,2.995732274
MW34,0,association,R,0,125,1,1,1,4.828313737
MW34,0,association,R,1,245,2,1,1,5.501258211
MW34,0,association,R,1,167,3,1,1,5.117993812
MW34,0,association,R,1,89,4,1,1,4.48863637
MW34,0,association,R,0,227,5,1,1,5.424950017
MW34,0,association,R,1,166,6,1,1,5.111987788
MW34,0,association,R,1,191,7,1,1,5.252273428
MW34,0,association,R,1,403,8,1,1,5.998936562
MW34,0,association,R,1,65,9,1,1,4.17438727
