toad.id,sex,age,task.type,reward.position,choice,latency,trial,lt,learnt
MW18,0,A,association,L,1,58,9,1,1
MW19,0,A,association,R,0,47,1,1,1
MW19,0,A,association,R,1,240,2,1,1
MW19,0,A,association,R,1,193,3,1,1
MW19,0,A,association,R,1,90,4,1,1
MW19,0,A,association,R,1,370,5,1,1
MW19,0,A,association,R,1,230,6,1,1
MW19,0,A,association,R,1,220,7,1,1
MW19,0,A,association,R,1,170,8,1,1
MW20,0,A,association,R,0,434,1,1,1
MW20,0,A,association,R,0,292,2,1,1
MW20,0,A,association,R,0,200,3,1,1
MW20,0,A,association,R,1,323,4,1,1
MW20,0,A,association,R,0,162,5,1,1
MW20,0,A,association,R,1,77,6,1,1
MW20,0,A,association,R,1,94,7,1,1
MW20,0,A,association,R,1,76,8,1,1
MW20,0,A,association,R,1,112,9,1,1
MW20,0,A,association,R,1,224,10,1,1
MW20,0,A,association,R,1,364,11,1,1
